"zip_code";"Estimated_Total";"Drove_alone";"Carpooled";"Public_Transportation"
"10001";11442;589;223;6090
"10002";33546;2516;1457;19077
"10003";29696;1320;218;18884
"10004";1735;124;12;898
"10005";3586;165;0;2312
"10006";1917;35;26;1204
"10007";3144;136;26;2009
"10009";30778;1778;269;18847
"10010";15894;971;375;8730
"10011";31053;1972;264;17505
"10012";14054;903;103;8008
"10013";12105;652;299;6545
"10014";19265;1009;387;11196
"10016";34336;2008;391;14810
"10017";10278;333;242;3480
"10018";3224;137;75;1436
"10019";24800;1402;305;11382
"10021";21994;2173;699;11505
"10022";16248;1485;218;6706
"10023";31134;2336;374;20153
"10024";31704;2382;401;23032
"10025";42784;2864;603;31434
"10026";14513;1250;304;11243
"10027";22566;1830;332;15201
"10028";25986;2270;569;16575
"10029";30043;2063;446;21407
"10030";11208;1199;492;8228
"10031";25912;1750;829;20693
"10032";25241;2402;964;17515
"10033";24756;2449;1522;16593
"10034";18628;2091;1252;12865
"10035";11282;795;204;8710
"10036";13540;609;91;6577
"10037";7086;894;117;5051
"10038";9683;498;24;5329
"10039";8691;791;346;6651
"10040";17689;1735;1007;12719
"10044";4904;289;66;3850
"10065";17320;996;294;7677
"10069";2809;316;152;1544
"10075";13178;1028;259;8689
"10110";2;0;0;1
"10128";32401;2829;633;22839
"10162";753;88;0;317
"10280";4980;372;0;2551
"10282";2392;176;0;1520
"10301";16021;6890;1163;6551
"10302";6743;3575;341;2298
"10303";9810;5003;776;3598
"10304";17455;7901;1053;7689
"10305";16566;8159;1770;5843
"10306";24307;13604;2038;7744
"10307";6256;4596;457;1090
"10308";12860;7941;1531;3253
"10309";13589;8822;1234;3319
"10310";9992;5054;877;3535
"10312";27516;18060;2768;6322
"10314";37527;22232;3877;10273
"10451";14784;1995;521;10087
"10452";26869;4139;1463;18122
"10453";27178;4175;2073;17664
"10454";12166;1723;401;8183
"10455";11974;2387;319;8137
"10456";27809;3829;860;19911
"10457";22041;3473;1382;14254
"10458";25455;3781;1213;16436
"10459";14157;2612;536;9747
"10460";19219;3961;838;12528
"10461";21668;7983;1887;9468
"10462";31980;7661;1666;19691
"10463";28807;7258;2375;16329
"10464";2368;1577;142;475
"10465";18675;10662;1866;5419
"10466";29991;10215;1799;15669
"10467";37144;9000;1440;23091
"10468";27976;3621;1220;19735
"10469";28988;12162;2411;13353
"10470";6687;2819;372;2987
"10471";9558;4171;751;3943
"10472";23676;4552;1015;16278
"10473";22252;7449;2229;11351
"10474";3404;544;144;2211
"10475";17215;6168;1087;8505
"11001";13081;8821;726;3013
"11003";21156;14344;1864;4155
"11004";6615;3851;627;1687
"11005";410;332;68;0
